Hours_Studied,Attendance,Previous_Scores,Tutoring_Sessions,Sleep_Hours,Motivation_Level,Teacher_Quality,School_Type,Internet_Access,Family_Income,Parental_Involvement,Parental_Education_Level,Distance_from_Home,Physical_Activity,Peer_Influence,Access_to_Resources,Extracurricular_Activities,Health,Study_Environment,Exam_Score
5,62,58,0,8,Low,Good,Public,Yes,Low,Low,,27.0,1,Negative,Medium,No,5,Good,65
2,77,35,4,8,High,,Private,No,Medium,High,Postgraduate,22.0,5,Negative,Low,No,3,Average,60
4,94,36,2,6,Low,Good,Private,No,Low,Medium,Postgraduate,20.0,0,Neutral,High,Yes,4,Poor,65
7,55,66,3,5,Low,Good,Private,No,Medium,Low,Postgraduate,15.0,6,Positive,Medium,No,3,Poor,68
8,53,82,4,5,Low,Good,Public,Yes,Low,High,School,18.0,4,Neutral,Low,No,5,Average,83
3,68,47,3,9,High,Poor,Public,Yes,High,Medium,School,9.0,2,Neutral,Low,Yes,1,Poor,69
1,65,67,3,5,Medium,,Public,Yes,High,Medium,,22.0,3,Negative,Low,No,2,Good,59
4,74,88,4,6,High,Average,Public,Yes,High,Low,School,29.0,6,Neutral,Medium,No,3,Good,82
2,54,30,3,7,Medium,,Private,No,High,Low,Graduate,17.0,4,Positive,High,No,1,Good,40
8,42,97,0,9,High,Poor,Public,No,Medium,Low,Postgraduate,,1,Positive,Medium,Yes,5,Average,82
4,62,73,0,6,Medium,Poor,Public,Yes,Medium,Low,Postgraduate,26.0,6,Positive,High,Yes,3,Good,65
2,68,76,0,3,High,Good,Private,Yes,Medium,Low,Graduate,23.0,5,Neutral,High,Yes,5,Poor,70
6,73,64,1,8,Low,Good,Public,No,Medium,High,Graduate,27.0,6,Neutral,High,Yes,5,Good,75
6,72,89,3,7,Low,Average,Public,Yes,Medium,High,School,11.0,4,Neutral,Low,No,3,Good,83
10,80,81,1,3,Low,Poor,Private,No,High,Low,Postgraduate,,3,Positive,High,No,1,Average,86
4,80,37,2,9,Medium,Average,Public,No,Low,High,Postgraduate,,3,Positive,Low,No,3,Poor,55
6,62,70,4,8,Medium,Average,Public,No,Low,Low,Graduate,11.0,1,Positive,Medium,Yes,5,Good,74
2,46,32,2,8,Low,Good,Public,Yes,High,Low,Postgraduate,27.0,4,Neutral,High,No,4,Poor,40
10,42,98,1,9,Medium,Good,Public,No,High,Medium,Graduate,17.0,2,Positive,Medium,No,5,Average,89
2,97,43,0,3,Low,Average,Public,Yes,Medium,Low,Postgraduate,10.0,4,Positive,Medium,Yes,3,Average,58
10,71,55,3,6,High,Good,Private,Yes,Medium,Medium,Graduate,13.0,6,Negative,High,No,1,Good,79
4,70,99,3,5,Medium,Good,Public,No,Low,High,School,,3,Neutral,High,Yes,5,Good,84
8,57,87,0,7,Medium,Good,Public,Yes,Low,Low,Postgraduate,4.0,5,Neutral,Low,Yes,1,Poor,84
7,82,69,3,9,High,,Public,Yes,Medium,Medium,School,7.0,1,Positive,High,Yes,1,Good,90
9,46,80,4,9,Medium,Average,Public,No,Medium,Medium,Graduate,15.0,0,Negative,Low,No,2,Average,77
8,80,34,4,8,Medium,Average,Public,Yes,High,High,Postgraduate,2.0,0,Negative,Low,Yes,1,Average,65
5,40,61,4,4,Medium,Poor,Public,Yes,Medium,Medium,Postgraduate,17.0,5,Positive,High,No,5,Average,54
2,53,30,2,8,High,Average,Public,Yes,High,Low,School,23.0,4,Negative,High,No,5,Average,41
5,91,83,0,5,Low,,Public,Yes,Medium,Low,School,24.0,3,Positive,High,No,3,Average,82
8,71,40,4,8,Low,Average,Private,Yes,Low,Medium,Graduate,21.0,4,Neutral,Low,No,3,Good,67
10,45,82,1,4,High,Poor,Public,Yes,High,Low,School,8.0,1,Negative,Low,Yes,1,Poor,80
9,78,37,4,9,High,Good,Public,Yes,Low,Low,Postgraduate,16.0,2,Negative,Low,Yes,4,Good,74
9,49,54,2,6,High,Average,Public,Yes,High,Medium,Postgraduate,20.0,0,Negative,Low,Yes,5,Good,65
1,46,69,1,8,Low,,Private,Yes,High,High,Postgraduate,24.0,4,Positive,Low,No,1,Poor,61
9,65,61,0,7,High,Good,Public,Yes,Low,High,Postgraduate,27.0,3,Neutral,High,Yes,3,Good,81
7,73,57,0,6,Low,Average,Private,No,Low,Low,,3.0,5,Negative,Low,No,5,Poor,73
9,69,32,4,4,High,Poor,Public,Yes,Medium,Medium,School,23.0,6,Neutral,High,No,2,Average,65
8,75,91,1,3,Medium,Good,Public,No,High,Low,Graduate,22.0,6,Neutral,Low,No,3,Average,86
1,60,56,1,8,Low,,Public,Yes,Medium,Low,School,,0,Negative,Low,No,2,Average,55
8,99,74,4,9,Low,Good,Public,Yes,High,Medium,Graduate,5.0,0,Neutral,High,Yes,5,Average,94
8,56,54,4,9,High,Average,Private,Yes,Medium,High,School,,2,Positive,Medium,Yes,4,Average,73
11,72,90,3,6,Medium,,Private,No,Low,Low,School,14.0,4,Positive,Medium,No,1,Poor,89
3,49,73,3,8,Low,Good,Public,Yes,Low,High,Postgraduate,14.0,2,Positive,Low,Yes,1,Good,66
1,90,75,4,7,High,Average,Public,Yes,Medium,Low,School,11.0,3,Neutral,High,Yes,4,Poor,74
8,86,43,2,8,Medium,Average,Public,Yes,Low,Medium,Graduate,28.0,3,Positive,Medium,Yes,1,Poor,69
3,81,37,3,6,Low,Good,Public,Yes,Medium,Medium,Postgraduate,20.0,4,Negative,Medium,Yes,1,Poor,55
3,90,77,4,5,High,Average,Private,No,High,High,School,13.0,0,Neutral,High,No,2,Poor,73
1,51,43,1,6,Medium,,Public,Yes,High,Low,Postgraduate,22.0,1,Positive,Medium,No,1,Poor,46
11,95,94,3,4,Low,Good,Private,No,Low,Medium,Postgraduate,9.0,2,Positive,Low,Yes,2,Average,95
5,55,36,2,6,Low,Poor,Private,Yes,Low,Low,Postgraduate,20.0,6,Positive,Low,No,1,Good,53
10,80,78,0,9,Medium,Poor,Private,Yes,Low,Low,,2.0,0,Positive,Low,Yes,1,Average,89
7,71,84,1,7,High,Poor,Public,No,High,High,Graduate,12.0,5,Negative,Medium,Yes,3,Poor,83
10,54,42,2,6,High,Poor,Public,No,Medium,Low,School,8.0,3,Positive,High,No,4,Good,67
9,66,85,2,6,Medium,Poor,Private,Yes,Low,Low,Postgraduate,16.0,6,Negative,High,No,3,Poor,83
7,67,85,2,7,Low,Poor,Private,No,Medium,High,School,,3,Neutral,Low,Yes,1,Average,78
9,56,44,1,6,Medium,Good,Private,Yes,Low,Medium,Graduate,16.0,0,Negative,Low,Yes,2,Average,64
8,85,86,2,9,Medium,Good,Public,Yes,Low,Low,Postgraduate,6.0,0,Positive,Low,Yes,1,Poor,92
2,98,87,0,7,Medium,Good,Public,Yes,Low,Low,Graduate,20.0,5,Positive,Low,No,5,Good,86
1,89,64,3,9,Low,,Private,No,Medium,Medium,Postgraduate,6.0,3,Neutral,Medium,No,5,Poor,65
7,97,45,1,9,Medium,Poor,Public,No,Medium,High,Postgraduate,3.0,2,Negative,Low,No,5,Good,75
7,41,37,2,9,Medium,Poor,Public,Yes,Medium,Medium,Postgraduate,9.0,2,Positive,Medium,No,5,Poor,50
8,75,74,4,4,Low,Good,Public,Yes,High,Low,School,19.0,0,Negative,Low,Yes,1,Good,77
5,89,69,3,7,Low,Average,Private,Yes,High,Low,,3.0,4,Positive,High,Yes,5,Poor,72
3,46,83,1,4,Medium,Average,Public,No,High,High,Graduate,21.0,3,Neutral,Medium,No,4,Average,65
8,52,43,4,4,High,Good,Public,No,Medium,High,Graduate,7.0,1,Negative,High,No,1,Poor,65
6,54,88,4,7,Medium,Poor,Private,Yes,High,Medium,Postgraduate,14.0,3,Positive,High,Yes,3,Good,80
11,64,82,2,6,Low,Average,Private,Yes,Low,High,,22.0,2,Neutral,High,Yes,1,Good,84
3,62,56,1,8,Low,Poor,Public,No,Medium,Medium,School,,2,Positive,Low,No,2,Average,60
1,99,76,2,5,Low,Average,Private,No,Low,Medium,School,23.0,1,Positive,High,Yes,4,Good,77
3,61,35,0,8,High,Poor,Private,No,Low,Low,School,25.0,2,Neutral,High,Yes,1,Good,51
5,65,84,4,9,Low,Average,Public,No,Medium,Medium,,3.0,1,Negative,High,Yes,3,Good,77
3,72,73,0,7,High,Poor,Private,Yes,Low,Medium,Postgraduate,5.0,2,Negative,Medium,Yes,2,Average,68
1,50,47,2,6,Low,Poor,Private,No,Medium,High,School,5.0,5,Neutral,Low,Yes,2,Poor,51
5,49,45,3,4,Low,Poor,Public,No,High,High,School,19.0,1,Neutral,High,Yes,3,Average,52
10,64,41,4,3,Medium,Good,Public,Yes,Medium,Low,Graduate,,4,Neutral,Low,Yes,3,Average,61
7,76,49,3,5,High,Poor,Public,No,Medium,Low,,10.0,3,Neutral,Medium,Yes,3,Poor,72
7,87,74,1,8,Medium,Poor,Private,No,Low,Low,School,9.0,2,Negative,Low,Yes,3,Good,83
11,82,93,4,6,High,Average,Public,Yes,Low,Medium,Postgraduate,,0,Neutral,High,No,5,Poor,95
9,92,88,0,9,Low,Average,Private,Yes,Low,High,Graduate,16.0,1,Neutral,Low,No,4,Average,94
10,77,51,3,5,Low,Good,Public,Yes,Low,Medium,School,9.0,1,Negative,Low,Yes,3,Poor,76
10,80,76,1,9,High,Average,Public,Yes,Low,Low,Postgraduate,6.0,1,Positive,Low,No,5,Average,91
3,84,58,4,3,Medium,Poor,Private,No,Low,High,Postgraduate,,2,Positive,Low,Yes,1,Poor,64
7,63,74,1,3,High,Good,Private,Yes,Low,Medium,Postgraduate,4.0,3,Negative,Low,Yes,2,Average,73
1,79,38,0,3,High,Good,Public,Yes,Low,High,Postgraduate,20.0,0,Negative,Medium,Yes,1,Good,58
4,85,53,4,8,High,,Private,No,Low,Medium,Postgraduate,,1,Negative,High,Yes,1,Poor,67
4,95,44,1,9,Low,Poor,Public,Yes,Medium,Low,Postgraduate,18.0,6,Negative,Low,No,5,Poor,70
5,72,65,2,7,High,Poor,Private,Yes,Low,Medium,Graduate,16.0,1,Neutral,Low,Yes,5,Poor,68
7,56,42,4,5,Low,Average,Public,Yes,Low,Medium,Postgraduate,24.0,1,Neutral,High,Yes,3,Good,50
7,63,73,4,7,Medium,Average,Public,No,Medium,Low,Graduate,28.0,5,Negative,High,No,3,Poor,74
11,76,65,4,9,Low,Average,Private,No,High,Low,,7.0,1,Positive,High,No,5,Poor,85
4,96,90,4,3,Medium,Good,Public,No,High,Medium,Postgraduate,14.0,0,Positive,High,Yes,4,Poor,87
7,41,69,2,6,Medium,Poor,Public,No,Medium,Medium,School,23.0,1,Negative,Low,No,3,Average,60
11,71,56,0,3,Medium,Average,Private,Yes,High,Medium,Postgraduate,17.0,5,Negative,High,Yes,1,Average,67
3,96,30,2,7,Low,,Private,No,Low,Low,Graduate,8.0,0,Positive,Medium,No,3,Poor,62
6,99,63,2,3,High,Good,Public,No,Low,Low,Postgraduate,11.0,0,Positive,Low,Yes,3,Good,81
2,63,97,1,9,Low,Poor,Private,Yes,Low,Low,Postgraduate,17.0,1,Neutral,Medium,Yes,4,Average,80
10,48,50,3,3,Medium,Poor,Public,No,High,High,Postgraduate,14.0,4,Positive,High,Yes,5,Good,59
9,43,62,3,7,High,Good,Public,No,Medium,High,Graduate,9.0,0,Positive,Medium,Yes,4,Good,70
5,56,36,1,7,Low,Average,Private,No,Low,Low,,6.0,4,Positive,Low,Yes,3,Good,50
6,56,94,2,9,Medium,Poor,Public,No,Medium,High,Graduate,8.0,0,Positive,Low,Yes,4,Poor,77
4,92,32,1,6,Medium,Poor,Public,No,Medium,High,School,17.0,5,Neutral,Low,Yes,3,Good,58
11,89,80,4,7,High,Good,Public,Yes,Low,Medium,,22.0,6,Neutral,Low,No,4,Good,95
10,87,83,1,9,Low,Poor,Public,Yes,Medium,Medium,,13.0,2,Neutral,Medium,No,2,Good,88
7,69,88,1,6,High,Poor,Public,Yes,Medium,Medium,School,13.0,1,Positive,Low,No,2,Poor,84
9,79,35,4,4,High,Poor,Private,No,Low,High,Postgraduate,17.0,2,Neutral,Low,Yes,3,Average,62
7,97,58,3,9,High,Good,Private,Yes,Medium,High,School,,0,Negative,Low,No,4,Average,87
1,50,46,4,4,High,Poor,Public,Yes,High,Medium,,2.0,2,Neutral,High,No,3,Good,47
1,60,89,0,7,Low,Good,Private,No,Low,Medium,School,18.0,1,Positive,Medium,Yes,4,Average,75
9,60,51,1,3,High,Average,Private,Yes,Low,Low,Postgraduate,4.0,6,Positive,High,Yes,5,Poor,59
11,57,53,1,5,Medium,,Private,Yes,Low,High,School,7.0,1,Negative,Low,No,4,Poor,65
9,94,80,3,3,Medium,Good,Private,No,Low,Medium,School,,6,Neutral,High,No,4,Poor,91
4,68,79,2,7,Medium,,Public,Yes,Low,Medium,School,16.0,0,Negative,Low,No,3,Average,72
9,63,40,4,6,High,Poor,Private,Yes,Low,Medium,,19.0,0,Positive,High,No,4,Good,63
3,49,85,2,9,Medium,Good,Private,No,Low,High,School,15.0,4,Neutral,Low,No,3,Good,72
7,84,71,0,3,Low,,Private,No,High,Medium,,23.0,3,Neutral,Low,Yes,3,Good,75
6,56,68,4,4,High,Average,Private,No,Medium,Medium,,25.0,6,Neutral,Low,No,1,Average,67
8,57,98,0,8,High,Average,Private,No,High,Medium,Postgraduate,14.0,6,Negative,High,No,3,Good,91
11,81,77,0,7,High,Average,Private,No,Medium,Medium,School,13.0,2,Positive,Low,No,4,Average,85
9,87,86,0,3,Low,Good,Public,No,Low,Medium,School,20.0,4,Neutral,High,Yes,2,Average,90
5,59,50,4,8,High,Good,Private,No,High,Low,Graduate,7.0,6,Negative,Low,Yes,5,Good,58
1,76,49,4,3,High,Average,Private,Yes,Low,Medium,Graduate,15.0,2,Negative,Medium,No,4,Poor,57
3,84,44,3,6,Medium,Average,Private,No,Medium,Low,Postgraduate,1.0,1,Neutral,Low,Yes,4,Good,54
10,57,98,1,6,Medium,Average,Private,No,High,High,Postgraduate,2.0,0,Negative,Medium,No,4,Poor,80
8,56,80,2,6,High,Average,Public,Yes,High,High,School,24.0,2,Positive,Low,Yes,1,Poor,76
11,48,91,2,8,Low,Average,Public,No,Medium,High,,3.0,3,Neutral,Low,Yes,2,Poor,86
6,53,66,0,5,Medium,Good,Private,No,Medium,High,,21.0,1,Negative,Low,Yes,4,Average,65
8,88,35,4,8,High,Average,Private,No,High,High,Postgraduate,24.0,5,Negative,Low,Yes,3,Average,68
9,68,55,4,7,Medium,Average,Private,Yes,High,Medium,Graduate,5.0,1,Neutral,Low,No,2,Poor,70
4,70,37,0,7,Medium,Poor,Private,Yes,High,Medium,School,16.0,4,Negative,High,No,2,Poor,54
1,43,33,1,4,Low,Good,Public,Yes,Medium,High,Graduate,28.0,3,Positive,High,Yes,4,Poor,40
1,57,50,2,4,High,Average,Private,Yes,Low,Medium,School,17.0,1,Negative,High,Yes,3,Good,52
10,98,60,3,7,Medium,Good,Public,No,High,Low,,29.0,3,Positive,Medium,Yes,2,Poor,88
4,59,50,1,3,High,Poor,Public,Yes,Medium,Low,Graduate,18.0,0,Neutral,Low,Yes,5,Average,58
7,95,54,4,7,Low,Poor,Private,Yes,High,Medium,School,26.0,5,Neutral,Low,Yes,3,Poor,79
2,95,44,0,9,Low,Average,Private,Yes,Medium,High,Postgraduate,16.0,6,Negative,Low,No,2,Good,61
3,86,64,2,5,Medium,Average,Public,No,High,High,Graduate,11.0,3,Positive,Medium,No,2,Good,68
1,82,78,0,4,Low,Average,Private,Yes,Medium,Low,Postgraduate,3.0,4,Negative,Medium,Yes,3,Poor,70
5,83,72,4,4,Medium,Average,Public,No,Medium,Medium,,10.0,4,Positive,Medium,No,1,Poor,76
1,48,70,0,9,High,Poor,Private,No,High,Low,School,,2,Neutral,Medium,Yes,3,Good,55
8,52,66,2,9,Medium,Good,Private,No,Medium,Medium,Graduate,16.0,5,Neutral,High,Yes,5,Poor,70
1,54,86,0,8,Medium,Average,Private,Yes,Medium,High,Graduate,9.0,0,Neutral,Medium,Yes,1,Good,66
11,66,71,2,9,Low,Good,Private,No,Medium,Low,School,21.0,0,Neutral,Medium,Yes,4,Good,83
1,54,76,0,4,High,Average,Public,No,Medium,Medium,Graduate,1.0,3,Positive,Medium,No,1,Average,62
2,67,90,0,7,High,Average,Private,Yes,Medium,High,School,11.0,4,Positive,Medium,No,5,Poor,77
2,76,43,2,4,Medium,Poor,Private,Yes,Medium,Medium,Postgraduate,11.0,4,Negative,High,Yes,5,Average,51
6,94,97,0,9,High,Average,Private,No,Medium,High,Graduate,27.0,4,Negative,Low,No,5,Average,94
7,58,82,1,9,High,Average,Public,No,Medium,Medium,Postgraduate,13.0,6,Negative,Medium,No,2,Poor,76
5,65,63,3,9,Medium,Average,Private,No,High,Low,Graduate,28.0,0,Negative,High,Yes,1,Average,68
1,91,53,1,4,Medium,Poor,Public,No,Medium,Medium,Postgraduate,8.0,4,Negative,High,Yes,5,Average,61
1,65,49,3,9,High,Good,Public,No,Low,Low,,19.0,2,Negative,High,Yes,1,Average,57
3,64,98,1,8,Medium,Poor,Private,Yes,High,Low,School,27.0,1,Neutral,Low,No,1,Good,84
2,65,59,3,7,Low,Average,Public,No,High,Low,,9.0,4,Positive,Medium,No,4,Average,59
5,65,36,0,3,High,Average,Private,No,Low,High,School,,2,Negative,Low,No,4,Good,49
10,85,65,2,9,Medium,Average,Private,Yes,Medium,Low,Graduate,28.0,2,Positive,High,Yes,4,Poor,88
6,67,67,2,4,High,,Private,No,Low,Low,Postgraduate,,1,Neutral,Low,No,2,Good,69
7,88,81,4,4,High,Good,Public,No,Low,Low,Graduate,4.0,0,Positive,High,Yes,2,Poor,90
4,57,44,3,9,Low,Average,Public,No,Low,High,Graduate,28.0,4,Neutral,High,Yes,4,Poor,57
7,71,75,4,4,Low,Average,Public,Yes,High,Medium,School,28.0,5,Positive,Medium,Yes,5,Average,76
11,92,52,4,9,High,Good,Private,No,Medium,High,Graduate,9.0,2,Neutral,High,No,3,Poor,88
8,42,41,3,5,Low,Poor,Private,Yes,High,High,Postgraduate,27.0,2,Neutral,Low,No,2,Good,50
11,41,73,2,7,Medium,Poor,Public,Yes,Medium,Medium,Graduate,25.0,6,Neutral,Low,Yes,3,Good,78
1,72,44,3,9,High,Good,Public,Yes,Low,Medium,Postgraduate,15.0,1,Neutral,High,No,2,Average,62
6,81,78,0,4,Low,Good,Private,No,High,Low,School,18.0,5,Negative,Medium,Yes,1,Average,83
8,58,50,4,5,High,Average,Public,Yes,Medium,Low,School,26.0,2,Negative,Low,No,5,Average,65
5,56,44,4,3,High,Good,Private,No,Medium,Medium,Graduate,22.0,4,Neutral,Medium,Yes,2,Poor,54
4,83,43,3,3,Medium,Good,Private,No,Low,Medium,Postgraduate,27.0,0,Positive,Medium,No,1,Poor,70
2,72,71,4,8,Medium,Average,Public,Yes,High,High,School,4.0,2,Positive,Medium,No,5,Poor,66
6,51,44,2,9,Medium,,Private,No,High,High,School,,0,Negative,Medium,No,2,Poor,61
6,88,92,4,8,Low,Average,Private,Yes,High,High,Graduate,26.0,2,Positive,High,No,5,Average,95
11,95,97,3,8,Low,Poor,Public,Yes,High,Medium,Postgraduate,16.0,2,Neutral,High,Yes,2,Poor,95
1,42,56,2,5,Low,Poor,Public,No,High,Low,School,6.0,4,Neutral,High,No,4,Good,44
9,82,82,2,3,Medium,Poor,Public,No,High,High,School,,0,Positive,Medium,No,2,Good,88
11,88,81,4,8,High,Average,Private,No,High,High,,12.0,5,Negative,Low,No,2,Average,92
6,94,92,3,6,Medium,Poor,Private,No,Low,Medium,Graduate,15.0,3,Negative,Low,Yes,1,Average,89
3,65,82,4,8,Low,Poor,Public,No,Medium,High,Graduate,15.0,4,Positive,High,Yes,4,Good,73
4,74,86,0,3,Low,Average,Private,Yes,Low,Medium,School,,0,Negative,Low,No,3,Poor,77
11,47,81,0,6,Low,Average,Public,No,Medium,Low,School,16.0,0,Positive,High,Yes,5,Poor,77
4,91,72,2,5,Medium,Poor,Private,No,Medium,High,Graduate,14.0,0,Positive,Medium,No,3,Average,75
3,75,36,4,9,Low,Poor,Private,No,Medium,High,Graduate,8.0,6,Negative,High,Yes,3,Average,51
10,92,71,0,9,Medium,Poor,Private,Yes,High,High,School,25.0,3,Positive,Low,Yes,4,Good,89
3,93,33,1,6,High,Good,Private,Yes,High,Medium,Postgraduate,28.0,4,Negative,High,No,4,Good,67
3,46,98,0,3,Medium,Average,Private,Yes,Medium,Medium,Postgraduate,25.0,6,Neutral,High,No,4,Average,67
4,85,34,4,4,Low,Average,Public,No,Medium,Low,School,2.0,3,Neutral,Low,No,1,Poor,49
7,85,70,4,6,High,Average,Public,Yes,High,Medium,School,15.0,2,Negative,High,Yes,1,Good,82
4,75,33,0,3,Low,Average,Private,Yes,High,High,School,,1,Positive,High,No,5,Poor,51
9,55,31,4,8,High,Poor,Public,No,Medium,High,School,,3,Neutral,Low,No,4,Poor,65
1,63,96,4,4,Low,Average,Public,No,Medium,Medium,Graduate,11.0,2,Positive,High,Yes,3,Average,69
8,93,50,1,5,Medium,Good,Private,No,Low,Low,Postgraduate,16.0,3,Neutral,Medium,Yes,5,Poor,73
7,40,99,2,9,Low,Good,Private,Yes,High,Medium,Postgraduate,8.0,0,Negative,High,Yes,1,Average,84
2,88,72,4,5,Medium,Poor,Private,Yes,High,Medium,Postgraduate,5.0,1,Positive,Low,No,2,Average,70
8,64,98,3,7,Medium,,Public,Yes,Medium,High,Graduate,,1,Negative,Medium,No,2,Poor,84
1,49,38,2,5,High,,Public,No,Low,High,School,,5,Positive,Medium,Yes,5,Good,49
11,93,57,2,7,Medium,,Public,No,High,High,Postgraduate,4.0,2,Neutral,Low,No,1,Poor,83
9,55,55,3,5,Medium,Poor,Private,Yes,Low,Medium,Postgraduate,12.0,6,Negative,Low,Yes,5,Average,67
9,55,32,0,5,Medium,Poor,Private,Yes,Low,Medium,Graduate,10.0,6,Neutral,High,No,1,Poor,53
